"stop_outcome","ticket_count","warning_count","stop_district","stop_duration_mins","person_searched","property_searched","traffic_involved","gender","ethnicity","age","primary_stop_reason","day_of_week","time_category"
"Arrest",0,0,"2D",60,"0","0","0","Male","Black",NA,"call for service","Sun","Night"
"No Action",0,0,"6D",10,"0","0","0","Male","Other",36,"demeanor during a field contact","Sun","Night"
"No Action",0,0,"4D",15,"1","0","0","Male","Black",46,"responding to individual's actions","Sun","Night"
"Arrest",0,0,"3D",13,"0","0","1","Male","Black",55,"responding to individual's actions","Sun","Morning"
"Arrest",0,0,"6D",20,"0","0","0","Male","Black",46,"officer initiated","Sun","Night"
"Arrest",0,0,"5D",10,"0","0","0","Male","Black",29,"call for service","Sun","Night"
"No Action",0,0,"3D",7,"0","0","0","Male","Black",38,"responding to individual's actions","Sun","Morning"
"Arrest",0,0,"3D",5,"1","0","0","Male","Black",24,"responding to individual's actions","Sun","Night"
"Arrest",0,0,"6D",5,"1","1","0","Male","Black",23,"responding to individual's actions","Sun","Night"
"Arrest",0,0,"6D",20,"1","0","0","Male","Black",26,"responding to individual's actions","Sun","Morning"
"No Action",0,0,"5D",2,"0","0","0","Male","Black",26,"officer initiated","Sun","Night"
"Arrest",0,0,"4D",31,"0","0","1","Male","Hispanic/Latino",31,"traffic response","Sun","Morning"
"Arrest",0,0,"2D",40,"0","0","0","Female","Black",26,"call for service","Sun","Morning"
"No Action",0,0,"6D",5,"1","0","0","Female","Black",14,"officer initiated","Sun","Morning"
"No Action",0,0,"6D",5,"0","0","0","Male","Black",21,"officer initiated","Sun","Morning"
"Arrest",0,0,"4D",55,"0","0","0","Male","Hispanic/Latino",25,"responding to bolo","Sun","Morning"
"Arrest",0,0,"5D",24,"0","0","0","Male","Black",24,"call for service","Sun","Morning"
"Arrest",0,0,"3D",10,"0","0","0","Male","Black",29,"call for service","Sun","Morning"
"Arrest",0,0,"3D",10,"0","0","0","Male","Black",29,"call for service","Sun","Morning"
"Arrest",0,0,"2D",56,"0","0","1","Male","Unknown",39,"traffic response","Sun","Morning"
"No Action",0,0,"6D",10,"1","0","0","Male","Black",19,"responding to bolo","Sun","Night"
"No Action",0,0,"3D",20,"0","0","0","Male","Black",30,"responding to individual's actions","Sun","Morning"
"Arrest",0,0,"5D",19,"0","0","0","Male","Hispanic/Latino",34,"call for service","Sun","Morning"
"Arrest",0,0,"2D",20,"0","0","0","Female","Black",26,"officer initiated","Sun","Morning"
"Arrest",0,0,"2D",20,"0","0","0","Female","Black",25,"officer initiated","Sun","Morning"
"No Action",0,0,"2D",60,"0","0","0","Male","Black",36,"call for service","Sun","Morning"
"Arrest",0,0,"3D",30,"0","0","1","Male","Multiple",31,"call for service","Sun","Morning"
"Arrest",0,0,"5D",26,"0","0","0","Female","Multiple",33,"call for service","Sun","Morning"
"Arrest",0,0,"5D",26,"0","0","0","Female","Multiple",30,"call for service","Sun","Morning"
"No Action",0,0,"2D",15,"0","0","0","Female","Unknown",37,"responding to individual's actions","Sun","Morning"
"No Action",0,0,"2D",15,"0","0","0","Female","Unknown",31,"responding to individual's actions","Sun","Morning"
"No Action",0,0,"2D",15,"0","0","0","Female","Unknown",NA,"responding to individual's actions","Sun","Morning"
"No Action",0,0,"2D",15,"0","0","0","Male","Black",31,"responding to individual's actions","Sun","Morning"
"Arrest",0,0,"6D",17,"0","0","1","Male","Black",23,"responding to bolo","Sun","Afternoon"
"Arrest",0,0,"3D",30,"0","0","0","Male","Black",32,"responding to individual's actions","Sun","Afternoon"
"Arrest",0,0,"3D",15,"0","0","0","Female","Hispanic/Latino",42,"call for service","Sun","Afternoon"
"Arrest",0,0,"5D",60,"0","0","0","Male","Black",33,"call for service","Sun","Afternoon"
"Arrest",0,0,"1D",10,"0","0","0","Male","Black",31,"call for service","Sun","Afternoon"
"No Action",0,0,"6D",25,"0","0","0","Male","Black",23,"responding to bolo","Sun","Afternoon"
"Arrest",0,0,"5D",7,"0","0","0","Male","Black",38,"information obtained from law enforcement sources","Sun","Evening"
"Arrest",0,0,"6D",6,"0","0","0","Male","Black",27,"call for service","Sun","Evening"
"Arrest",0,0,"7D",41,"0","0","0","Female","Black",21,"call for service","Sun","Evening"
"No Action",0,0,"5D",45,"1","0","0","Male","Black",35,"information obtained from witnesses or informants","Sun","Evening"
"Arrest",0,0,"5D",10,"0","0","0","Male","Black",71,"call for service","Sun","Night"
"Arrest",0,0,"7D",64,"0","0","0","Female","Black",32,"call for service","Sun","Night"
"No Action",0,0,"7D",64,"1","0","0","Male","Black",49,"call for service","Sun","Night"
"Arrest",0,0,"4D",10,"0","0","0","Male","Black",55,"officer initiated","Sun","Night"
"Arrest",0,0,"2D",10,"0","0","0","Male","Black",28,"call for service","Sun","Night"
"Arrest",0,0,"2D",15,"0","0","0","Male","Black",29,"call for service","Sun","Night"
"Arrest",0,0,"5D",30,"0","0","0","Male","Black",52,"call for service","Sun","Night"
"Arrest",0,0,"7D",15,"0","0","0","Male","Black",24,"call for service","Sun","Night"
"Arrest",0,0,"5D",10,"0","0","0","Male","Black",27,"call for service","Sun","Night"
"No Action",0,0,"3D",20,"0","0","0","Female","Black",18,"responding to bolo","Sun","Night"
"No Action",0,0,"3D",20,"0","0","0","Female","Black",15,"responding to bolo","Sun","Night"
"Arrest",0,0,"7D",150,"0","0","0","Male","Black",49,"information obtained from witnesses or informants","Sun","Night"
"Arrest",0,0,"2D",60,"0","0","0","Female","Black",14,"information obtained from witnesses or informants","Mon","Night"
"No Action",0,0,"4D",18,"0","0","0","Female","White",41,"responding to bolo","Sun","Morning"
"Arrest",0,0,"7D",15,"0","0","0","Female","Black",25,"call for service","Mon","Night"
"Arrest",0,0,"4D",34,"0","0","0","Male","Black",16,"call for service","Sun","Night"
"Arrest",0,0,"4D",34,"0","0","0","Male","Black",14,"call for service","Sun","Night"
"Arrest",0,0,"4D",34,"0","0","0","Male","Black",14,"call for service","Sun","Night"
"Arrest",0,0,"5D",30,"0","0","0","Male","Black",31,"call for service","Mon","Night"
"Arrest",0,0,"4D",20,"0","0","0","Male","Black",38,"call for service","Mon","Night"
"No Action",0,0,"5D",15,"1","0","0","Male","Black",33,"responding to bolo","Mon","Night"
"Arrest",0,0,"4D",5,"0","0","0","Female","Black",29,"call for service","Mon","Night"
"Arrest",0,0,"7D",25,"0","0","0","Female","Black",39,"call for service","Mon","Night"
"No Action",0,0,"6D",17,"0","1","0","Male","Black",23,"traffic response","Sun","Evening"
"No Action",0,0,"1D",20,"1","0","0","Male","White",NA,"information obtained from witnesses or informants","Mon","Night"
"No Action",0,0,"2D",66,"0","0","0","Male","Hispanic/Latino",49,"call for service","Sun","Morning"
"Warning",0,0,"3D",15,"0","0","1","Male","Hispanic/Latino",37,"officer initiated","Sun","Night"
"Warning",0,0,"6D",5,"0","0","1","Female","Black",19,"call for service","Sun","Night"
"Ticket",0,0,"2D",15,"0","0","1","Male","Unknown",NA,"officer initiated","Sun","Morning"
"Ticket",0,0,"3D",40,"0","0","1","Male","Unknown",31,"call for service","Sun","Morning"
"Ticket",0,0,"3D",20,"0","0","1","Female","Hispanic/Latino",49,"call for service","Sun","Afternoon"
"Ticket",0,0,"1D",2,"0","0","1","Unknown","Unknown",NA,"traffic response","Sun","Morning"
"Ticket",0,0,"5D",5,"0","0","1","Male","Hispanic/Latino",NA,"responding to bolo","Sun","Night"
"Ticket",0,0,"4D",10,"0","0","1","Male","Black",22,"call for service","Sun","Afternoon"
"Ticket",0,0,"1D",10,"0","0","1","Male","Black",29,"traffic response","Sun","Night"
"Warning",0,0,"5D",10,"0","0","1","Male","Black",28,"officer initiated","Sun","Night"
"Ticket",0,0,"5D",30,"0","0","1","Male","White",NA,"traffic response","Sun","Evening"
"Warning",0,0,"2D",10,"0","0","1","Unknown","Unknown",40,"officer initiated","Sun","Morning"
"Ticket",0,0,"3D",10,"0","0","1","Male","Black",28,"officer initiated","Sun","Night"
"Ticket",0,0,"2D",10,"0","0","1","Male","Black",30,"officer initiated","Sun","Night"
"Ticket",0,0,"4D",15,"0","0","1","Male","White",NA,"call for service","Mon","Night"
"Ticket",0,0,"4D",15,"0","0","1","Male","White",NA,"call for service","Sun","Afternoon"
"Ticket",0,0,"5D",25,"0","0","1","Female","Black",23,"traffic response","Sun","Evening"
"Ticket",0,0,"4D",10,"0","0","1","Male","Black",40,"officer initiated","Sun","Night"
"Ticket",0,0,"2D",10,"0","0","1","Male","Black",57,"officer initiated","Sun","Night"
"Warning",0,0,"3D",10,"0","0","1","Unknown","Unknown",29,"officer initiated","Sun","Night"
"Ticket",0,0,"5D",20,"0","0","1","Male","Hispanic/Latino",NA,"call for service","Sun","Afternoon"
"Ticket",0,0,"NA",15,"0","0","1","Male","Black",29,"traffic response","Sun","Night"
"Arrest",0,0,"6D",10,"0","0","0","Female","Black",36,"call for service","Mon","Night"
"Arrest",0,0,"5D",8,"0","0","0","Male","White",45,"call for service","Mon","Morning"
"Arrest",0,0,"6D",15,"0","0","0","Male","Black",40,"call for service","Mon","Morning"
"Arrest",0,0,"7D",40,"0","0","0","Female","Black",37,"call for service","Mon","Morning"
"Arrest",0,0,"2D",39,"0","0","0","Male","White",58,"call for service","Mon","Morning"
"No Action",0,0,"4D",50,"1","0","0","Male","Black",35,"call for service","Mon","Morning"
"Arrest",0,0,"1D",34,"0","0","1","Male","Hispanic/Latino",26,"call for service","Mon","Morning"
"Arrest",0,0,"7D",38,"0","0","0","Male","Black",37,"call for service","Mon","Morning"
"Arrest",0,0,"5D",15,"0","0","0","Male","Black",60,"call for service","Mon","Afternoon"
"Arrest",0,0,"5D",2,"0","0","0","Male","Black",21,"warrant/court order","Mon","Afternoon"
"No Action",0,0,"3D",21,"0","0","0","Female","White",31,"call for service","Mon","Afternoon"
"No Action",0,0,"5D",44,"0","0","0","Male","Black",29,"call for service","Mon","Afternoon"
"Arrest",0,0,"4D",18,"0","0","0","Female","Black",41,"call for service","Mon","Afternoon"
"Arrest",0,0,"6D",30,"0","0","0","Male","Multiple",33,"call for service","Mon","Afternoon"
"Arrest",0,0,"7D",10,"0","0","0","Female","Black",34,"call for service","Mon","Afternoon"
"Arrest",0,0,"1D",49,"0","0","0","Female","Black",53,"call for service","Mon","Afternoon"
"Arrest",0,0,"6D",15,"0","0","1","Female","White",26,"call for service","Mon","Evening"
"Arrest",0,0,"6D",30,"0","0","0","Male","Black",17,"call for service","Mon","Evening"
"Arrest",0,0,"6D",15,"1","0","0","Male","Black",30,"call for service","Mon","Night"
"Arrest",0,0,"5D",37,"0","0","0","Female","Multiple",25,"call for service","Mon","Night"
"Arrest",0,0,"1D",5,"0","0","0","Male","Black",30,"officer initiated","Mon","Night"
"No Action",0,0,"2D",20,"0","0","0","Female","White",17,"call for service","Mon","Night"
"No Action",0,0,"4D",19,"1","0","0","Male","Black",32,"responding to individual's actions","Mon","Night"
"Arrest",0,0,"4D",10,"0","0","1","Female","Black",33,"responding to individual's actions","Mon","Night"
"Arrest",0,0,"1D",30,"0","0","0","Male","Black",34,"responding to individual's actions","Mon","Night"
"No Action",0,0,"6D",10,"0","0","0","Male","Black",19,"responding to bolo","Mon","Night"
"Arrest",0,0,"7D",10,"0","0","0","Male","Black",34,"call for service","Mon","Night"
"Arrest",0,0,"5D",5,"0","0","0","Male","Black",29,"responding to bolo","Mon","Night"
"No Action",0,0,"2D",7,"0","0","0","Female","Black",30,"responding to bolo","Tue","Night"
"No Action",0,0,"7D",60,"0","0","0","Female","Black",35,"call for service","Mon","Night"
"No Action",0,0,"7D",60,"0","0","0","Female","Black",NA,"call for service","Mon","Night"
"No Action",0,0,"7D",60,"0","0","0","Female","Black",NA,"call for service","Mon","Night"
"No Action",0,0,"7D",60,"0","0","0","Female","Black",NA,"call for service","Mon","Night"
"No Action",0,0,"7D",60,"0","0","0","Female","Black",NA,"call for service","Mon","Night"
"No Action",0,0,"7D",60,"0","1","0","Female","Black",76,"call for service","Mon","Night"
"No Action",0,0,"7D",60,"0","0","0","Female","Black",NA,"call for service","Mon","Night"
"Arrest",0,0,"1D",35,"0","0","0","Male","Black",39,"call for service","Mon","Night"
"Arrest",0,0,"7D",75,"1","0","0","Unknown","Unknown",16,"information obtained from witnesses or informants","Mon","Night"
"Arrest",0,0,"7D",75,"1","0","0","Male","Black",17,"information obtained from witnesses or informants","Mon","Night"
"Arrest",0,0,"6D",9,"0","0","0","Male","Black",42,"responding to individual's actions","Tue","Night"
"No Action",0,0,"5D",20,"0","0","0","Male","Black",47,"call for service","Tue","Night"
"Arrest",0,0,"1D",25,"0","0","0","Female","Black",39,"call for service","Tue","Night"
"Arrest",0,0,"6D",15,"0","0","0","Male","Black",32,"call for service","Tue","Night"
"No Action",0,0,"7D",18,"1","1","0","Male","Black",NA,"responding to individual's actions","Mon","Night"
"No Action",0,0,"4D",15,"0","0","0","Male","Black",36,"call for service","Tue","Night"
"No Action",0,0,"2D",10,"0","0","0","Male","White",14,"call for service","Tue","Night"
"No Action",0,0,"2D",10,"0","0","0","Male","White",15,"call for service","Tue","Night"
"No Action",0,0,"2D",10,"0","0","0","Male","White",14,"call for service","Tue","Night"
"No Action",0,0,"1D",10,"0","0","0","Female","Black",29,"call for service","Tue","Night"
"No Action",0,0,"1D",10,"0","0","0","Male","Black",30,"call for service","Tue","Night"
"No Action",0,0,"7D",60,"0","0","0","Female","Black",12,"call for service","Tue","Night"
"No Action",0,0,"6D",10,"1","0","0","Male","Black",27,"responding to bolo","Mon","Night"
"Arrest",0,0,"3D",22,"0","0","0","Male","Black",17,"call for service","Tue","Night"
"No Action",0,0,"3D",12,"0","0","0","Male","Black",62,"responding to individual's actions","Mon","Afternoon"
"No Action",0,0,"3D",13,"0","0","0","Male","Black",36,"responding to individual's actions","Mon","Afternoon"
"No Action",0,0,"3D",9,"0","0","0","Male","Black",70,"responding to individual's actions","Mon","Afternoon"
"No Action",0,0,"1D",10,"1","0","0","Male","Black",34,"call for service","Mon","Afternoon"
"Warning",0,0,"5D",5,"0","0","1","Male","Black",27,"officer initiated","Mon","Night"
"Warning",0,0,"2D",15,"0","0","1","Male","Black",62,"officer initiated","Mon","Morning"
"Warning",0,0,"5D",10,"0","0","1","Female","Black",31,"officer initiated","Mon","Night"
"Warning",0,0,"2D",15,"0","0","1","Female","Black",24,"officer initiated","Tue","Night"
"Warning",0,0,"4D",5,"0","0","1","Male","Black",25,"officer initiated","Tue","Night"
"Ticket",0,0,"2D",15,"0","0","1","Male","White",19,"officer initiated","Tue","Night"
"Ticket",0,0,"4D",10,"0","0","1","Male","Black",53,"officer initiated","Mon","Night"
"Ticket",0,0,"2D",15,"0","0","1","Male","Black",47,"officer initiated","Mon","Afternoon"
"Ticket",0,0,"6D",10,"0","0","1","Male","Black",24,"traffic response","Mon","Morning"
"Warning",0,0,"4D",10,"0","0","1","Male","Asian",23,"officer initiated","Mon","Afternoon"
"Warning",0,0,"4D",5,"0","0","1","Female","Black",29,"officer initiated","Mon","Night"
"Warning",0,0,"5D",10,"0","0","1","Male","Black",25,"officer initiated","Mon","Night"
"No Action",0,0,"3D",4,"0","0","0","Male","Hispanic/Latino",14,"responding to individual's actions","Tue","Morning"
"Arrest",0,0,"7D",10,"0","0","0","Female","Black",49,"responding to individual's actions","Tue","Night"
"Arrest",0,0,"3D",20,"0","0","0","Male","Black",36,"responding to individual's actions","Tue","Morning"
"No Action",0,0,"4D",14,"0","0","0","Male","Hispanic/Latino",NA,"call for service","Tue","Morning"
"No Action",0,0,"2D",45,"0","0","0","Female","Black",37,"call for service","Tue","Morning"
"No Action",0,0,"2D",45,"0","0","0","Male","Black",40,"call for service","Tue","Morning"
"Arrest",0,0,"6D",77,"0","0","0","Female","Black",16,"officer initiated","Tue","Morning"
"Arrest",0,0,"6D",77,"0","0","0","Female","Black",17,"officer initiated","Tue","Morning"
"Arrest",0,0,"6D",77,"0","0","0","Female","Black",15,"officer initiated","Tue","Morning"
"Arrest",0,0,"3D",10,"0","0","0","Male","Black",44,"call for service","Tue","Morning"
